Index,Time,(Debug_IMU_Data).Euler_Yaw_rad,(Gimbal).Target_Yaw_Speed,(Debug_IMU_Data).Gyro_Z_rad_s
964,0.963702,0,0,0
965,0.964808,0,0,0
966,0.966112,0,0,0
967,0.966819,0,0,0
968,0.968093,0,0,0
969,0.968713,0,0,0
970,0.969820,0,0,0
971,0.970960,0,0,0
972,0.972083,0,0,0
973,0.972703,0,0,0
974,0.973810,0,0,0
975,0.974953,0,0,0
976,0.976076,0,0,0
977,0.976696,0,0,0
978,0.977802,0,0,0
979,0.979202,0,0,0
980,0.979909,0,0,0
981,0.981019,0,0,0
982,0.981722,0,0,0
983,0.982846,0,0,0
984,0.983985,0,0,0
985,0.985124,0,0,0
986,0.985744,0,0,0
987,0.986838,0,0,0
988,0.987977,0,0,0
989,0.989114,0,0,0
990,0.989734,0,0,0
991,0.991095,0,0,0
992,0.991800,0,0,0
993,0.992894,0,0,0
994,0.994034,0,0,0
995,0.994654,0,0,0
996,0.995763,0,0,0
997,0.997124,0,0,0
998,0.997744,0,0,0
999,0.998850,0,0,0
1000,0.999990,0,0,0
1001,1.001114,0,0,0
1002,1.001845,0,0,0
1003,1.003225,0,0,0
1004,1.003845,0,0,0
1005,1.004962,0,0,0
1006,1.006085,0,0,0
1007,1.006705,0,0,0
1008,1.007812,0,0,0
1009,1.008951,0,0,0
1010,1.010075,0,0,0
1011,1.010695,0,0,0
1012,1.011801,0,0,0
1013,1.012941,0,0,0
1014,1.013799,0,0,0
1015,1.015129,0,0,0
1016,1.015749,0,0,0
1017,1.016846,0,0,0
1018,1.017985,0,0,0
1019,1.019122,0,0,0
1020,1.019741,0,0,0
1021,1.020835,0,0,0
1022,1.021975,0,0,0
1023,1.023111,0,0,0
1024,1.023731,0,0,0
1025,1.025114,0,0,0
1026,1.025821,0,0,0
1027,1.026915,0,0,0
1028,1.028055,0,0,0
1029,1.028674,0,0,0
1030,1.029782,0,0,0
1031,1.030905,0,0,0
1032,1.032044,0,0,0
1033,1.032664,0,0,0
1034,1.033771,0,0,0
1035,1.034894,0,0,0
1036,1.036187,0,0,0
1037,1.036870,0,0,0
1038,1.038110,0,0,0
