time_s,target_rad_s,now_rad_s,output_A,speed_rpm
1.830000000000000071e+01,1.000000000000000000e+00,7.239999999999999769e-01,3.400000000000000244e-02,6.000000000000000125e-03
1.840000000000000213e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,8.999999999999999320e-03
1.850000000000000000e+01,1.000000000000000000e+00,9.220000000000000417e-01,2.500000000000000139e-02,8.000000000000000167e-03
1.860000000000000142e+01,1.000000000000000000e+00,9.110000000000000320e-01,2.900000000000000147e-02,8.000000000000000167e-03
1.869999999999999929e+01,1.000000000000000000e+00,1.026000000000000023e+00,2.199999999999999872e-02,8.999999999999999320e-03
1.880000000000000071e+01,-1.000000000000000000e+00,-6.229999999999999982e-01,-1.799999999999999864e-02,-5.000000000000000104e-03
1.890000000000000213e+01,-1.000000000000000000e+00,-6.770000000000000462e-01,-2.599999999999999881e-02,-5.000000000000000104e-03
1.900000000000000000e+01,-1.000000000000000000e+00,-7.620000000000000107e-01,-3.200000000000000067e-02,-6.000000000000000125e-03
1.910000000000000142e+01,-1.000000000000000000e+00,-9.409999999999999476e-01,-2.400000000000000050e-02,-8.000000000000000167e-03
1.920000000000000284e+01,-1.000000000000000000e+00,-8.599999999999999867e-01,-3.300000000000000155e-02,-8.000000000000000167e-03
1.930000000000000071e+01,-1.000000000000000000e+00,-8.349999999999999645e-01,-3.899999999999999994e-02,-8.000000000000000167e-03
1.940000000000000213e+01,-1.000000000000000000e+00,-1.058000000000000052e+00,-2.400000000000000050e-02,-1.000000000000000021e-02
1.950000000000000000e+01,1.500000000000000000e+00,-9.439999999999999503e-01,1.429999999999999882e-01,-8.000000000000000167e-03
1.960000000000000142e+01,1.500000000000000000e+00,1.116000000000000103e+00,2.299999999999999961e-02,1.099999999999999936e-02
1.970000000000000284e+01,1.500000000000000000e+00,1.110999999999999988e+00,3.699999999999999817e-02,1.099999999999999936e-02
1.980000000000000071e+01,1.500000000000000000e+00,1.370000000000000107e+00,2.400000000000000050e-02,1.299999999999999940e-02
1.990000000000000213e+01,1.500000000000000000e+00,1.368999999999999995e+00,2.900000000000000147e-02,1.200000000000000025e-02
2.000000000000000000e+01,1.500000000000000000e+00,1.518999999999999906e+00,2.100000000000000130e-02,1.299999999999999940e-02
2.010000000000000142e+01,1.500000000000000000e+00,1.433000000000000052e+00,2.800000000000000058e-02,1.200000000000000025e-02
2.020000000000000284e+01,1.500000000000000000e+00,1.481999999999999984e+00,2.400000000000000050e-02,1.299999999999999940e-02
2.030000000000000071e+01,-1.500000000000000000e+00,-1.171000000000000041e+00,-1.799999999999999864e-02,-1.000000000000000021e-02
2.040000000000000213e+01,-1.500000000000000000e+00,-1.106000000000000094e+00,-3.200000000000000067e-02,-8.999999999999999320e-03
2.050000000000000000e+01,-1.500000000000000000e+00,-1.276999999999999913e+00,-3.200000000000000067e-02,-1.000000000000000021e-02
2.060000000000000142e+01,-1.500000000000000000e+00,-1.332000000000000073e+00,-3.099999999999999978e-02,-1.099999999999999936e-02
2.070000000000000284e+01,-1.500000000000000000e+00,-1.411999999999999922e+00,-3.099999999999999978e-02,-1.200000000000000025e-02
2.080000000000000071e+01,-1.500000000000000000e+00,-1.447999999999999954e+00,-2.900000000000000147e-02,-1.299999999999999940e-02
2.090000000000000213e+01,-1.500000000000000000e+00,-1.489999999999999991e+00,-2.900000000000000147e-02,-1.400000000000000029e-02
2.100000000000000000e+01,2.000000000000000000e+00,-1.481999999999999984e+00,2.149999999999999967e-01,-1.400000000000000029e-02
2.110000000000000142e+01,2.000000000000000000e+00,1.610999999999999988e+00,2.999999999999999889e-02,1.499999999999999944e-02
2.120000000000000284e+01,2.000000000000000000e+00,1.832000000000000073e+00,2.400000000000000050e-02,1.700000000000000122e-02
2.130000000000000071e+01,2.000000000000000000e+00,1.824999999999999956e+00,2.999999999999999889e-02,1.600000000000000033e-02
2.140000000000000213e+01,2.000000000000000000e+00,1.881999999999999895e+00,2.900000000000000147e-02,1.600000000000000033e-02
2.150000000000000000e+01,2.000000000000000000e+00,2.047000000000000153e+00,2.000000000000000042e-02,1.799999999999999864e-02
2.160000000000000142e+01,2.000000000000000000e+00,2.068999999999999950e+00,2.000000000000000042e-02,1.899999999999999953e-02
2.170000000000000284e+01,2.000000000000000000e+00,1.846999999999999975e+00,3.500000000000000333e-02,1.799999999999999864e-02
2.180000000000000071e+01,-2.000000000000000000e+00,-1.508999999999999897e+00,-3.799999999999999906e-02,-1.299999999999999940e-02
2.190000000000000213e+01,-2.000000000000000000e+00,-1.860999999999999988e+00,-2.299999999999999961e-02,-1.700000000000000122e-02
2.200000000000000000e+01,-2.000000000000000000e+00,-1.844999999999999973e+00,-2.999999999999999889e-02,-1.700000000000000122e-02
2.210000000000000142e+01,-2.000000000000000000e+00,-1.838000000000000078e+00,-3.300000000000000155e-02,-1.600000000000000033e-02
2.220000000000000284e+01,-2.000000000000000000e+00,-1.995999999999999996e+00,-2.500000000000000139e-02,-1.700000000000000122e-02
2.230000000000000071e+01,-2.000000000000000000e+00,-1.973999999999999977e+00,-2.900000000000000147e-02,-1.700000000000000122e-02
